# stability, res-p, res-q, id, time, a, psi, e, inc
0, 0, 0, 105, 0.0000e+00, 1.5318e+02, 1.8022e-01, 7.4540e-01, 3.5640e-01
0, 0, 0, 105, 1.8934e+03, 1.5311e+02, 3.3901e+00, 7.4527e-01, 3.5639e-01
0, 0, 0, 105, 3.7862e+03, 1.5296e+02, 3.0174e-01, 7.4502e-01, 3.5639e-01
0, 0, 0, 105, 5.6745e+03, 1.5284e+02, 3.7037e+00, 7.4482e-01, 3.5639e-01
0, 0, 0, 105, 7.5621e+03, 1.5279e+02, 8.1515e-01, 7.4473e-01, 3.5639e-01
0, 0, 0, 105, 9.4483e+03, 1.5270e+02, 4.2876e+00, 7.4459e-01, 3.5641e-01
0, 0, 0, 105, 1.1333e+04, 1.5268e+02, 1.5113e+00, 7.4455e-01, 3.5640e-01
0, 0, 0, 105, 1.3219e+04, 1.5272e+02, 4.9925e+00, 7.4461e-01, 3.5641e-01
0, 0, 0, 105, 1.5105e+04, 1.5273e+02, 2.1982e+00, 7.4464e-01, 3.5640e-01
0, 0, 0, 105, 1.6991e+04, 1.5288e+02, 5.6418e+00, 7.4489e-01, 3.5639e-01
0, 0, 0, 105, 1.8881e+04, 1.5295e+02, 2.6990e+00, 7.4501e-01, 3.5638e-01
0, 0, 0, 105, 2.0771e+04, 1.5311e+02, 5.9975e+00, 7.4529e-01, 3.5633e-01
0, 0, 0, 105, 2.2666e+04, 1.5321e+02, 2.8613e+00, 7.4545e-01, 3.5632e-01
0, 0, 0, 105, 2.4561e+04, 1.5337e+02, 5.9807e+00, 7.4573e-01, 3.5627e-01
0, 0, 0, 105, 2.6461e+04, 1.5349e+02, 2.6614e+00, 7.4595e-01, 3.5625e-01
0, 0, 0, 105, 2.8361e+04, 1.5364e+02, 5.5745e+00, 7.4619e-01, 3.5623e-01
0, 0, 0, 105, 3.0265e+04, 1.5372e+02, 2.0755e+00, 7.4632e-01, 3.5623e-01
0, 0, 0, 105, 3.2170e+04, 1.5373e+02, 4.8404e+00, 7.4633e-01, 3.5623e-01
0, 0, 0, 105, 3.4075e+04, 1.5375e+02, 1.2982e+00, 7.4637e-01, 3.5623e-01
0, 0, 0, 105, 3.5979e+04, 1.5371e+02, 4.0784e+00, 7.4631e-01, 3.5624e-01
0, 0, 0, 105, 3.7883e+04, 1.5357e+02, 5.7447e-01, 7.4607e-01, 3.5625e-01
0, 0, 0, 105, 3.9783e+04, 1.5348e+02, 3.5142e+00, 7.4593e-01, 3.5626e-01
0, 0, 0, 105, 4.1683e+04, 1.5330e+02, 1.7172e-01, 7.4564e-01, 3.5624e-01
0, 0, 0, 105, 4.3578e+04, 1.5323e+02, 3.2942e+00, 7.4550e-01, 3.5624e-01
0, 0, 0, 105, 4.5473e+04, 1.5303e+02, 1.4744e-01, 7.4519e-01, 3.5622e-01
0, 0, 0, 105, 4.7363e+04, 1.5295e+02, 3.4525e+00, 7.4505e-01, 3.5622e-01
0, 0, 0, 105, 4.9253e+04, 1.5280e+02, 5.1346e-01, 7.4480e-01, 3.5622e-01
0, 0, 0, 105, 5.1139e+04, 1.5268e+02, 3.9898e+00, 7.4458e-01, 3.5624e-01
0, 0, 0, 105, 5.3023e+04, 1.5265e+02, 1.2611e+00, 7.4452e-01, 3.5623e-01
0, 0, 0, 105, 5.4907e+04, 1.5263e+02, 4.7778e+00, 7.4450e-01, 3.5624e-01
0, 0, 0, 105, 5.6791e+04, 1.5266e+02, 2.0566e+00, 7.4454e-01, 3.5624e-01
0, 0, 0, 105, 5.8677e+04, 1.5280e+02, 5.5372e+00, 7.4478e-01, 3.5623e-01
0, 0, 0, 105, 6.0565e+04, 1.5285e+02, 2.6485e+00, 7.4488e-01, 3.5622e-01
0, 0, 0, 105, 6.2454e+04, 1.5304e+02, 6.0044e+00, 7.4522e-01, 3.5616e-01
0, 0, 0, 105, 6.4348e+04, 1.5314e+02, 2.8960e+00, 7.4538e-01, 3.5615e-01
0, 0, 0, 105, 6.6242e+04, 1.5330e+02, 6.0602e+00, 7.4567e-01, 3.5608e-01
0, 0, 0, 105, 6.8140e+04, 1.5343e+02, 2.7639e+00, 7.4589e-01, 3.5607e-01
0, 0, 0, 105, 7.0039e+04, 1.5361e+02, 5.7534e+00, 7.4619e-01, 3.5604e-01
0, 0, 0, 105, 7.1943e+04, 1.5370e+02, 2.2639e+00, 7.4633e-01, 3.5604e-01
0, 0, 0, 105, 7.3847e+04, 1.5375e+02, 5.0388e+00, 7.4642e-01, 3.5603e-01
0, 0, 0, 105, 7.5752e+04, 1.5378e+02, 1.4922e+00, 7.4647e-01, 3.5603e-01
0, 0, 0, 105, 7.7658e+04, 1.5375e+02, 4.2235e+00, 7.4642e-01, 3.5604e-01
0, 0, 0, 105, 7.9562e+04, 1.5367e+02, 7.0914e-01, 7.4628e-01, 3.5604e-01
0, 0, 0, 105, 8.1465e+04, 1.5359e+02, 3.5606e+00, 7.4616e-01, 3.5606e-01
0, 0, 0, 105, 8.3366e+04, 1.5338e+02, 1.7923e-01, 7.4581e-01, 3.5604e-01
0, 0, 0, 105, 8.5263e+04, 1.5328e+02, 3.2254e+00, 7.4565e-01, 3.5604e-01
0, 0, 0, 105, 8.7159e+04, 1.5317e+02, 3.2758e-02, 7.4548e-01, 3.5600e-01
0, 0, 0, 105, 8.9053e+04, 1.5318e+02, 3.1751e+00, 7.4549e-01, 3.5598e-01
0, 0, 0, 105, 9.0948e+04, 1.5304e+02, 6.0386e-02, 7.4529e-01, 3.5594e-01
0, 0, 0, 105, 9.2839e+04, 1.5304e+02, 3.3160e+00, 7.4528e-01, 3.5593e-01
0, 0, 0, 105, 9.4731e+04, 1.5286e+02, 2.8889e-01, 7.4498e-01, 3.5593e-01
0, 0, 0, 105, 9.6617e+04, 1.5275e+02, 3.7403e+00, 7.4479e-01, 3.5593e-01
0, 0, 0, 105, 9.8503e+04, 1.5269e+02, 9.2350e-01, 7.4469e-01, 3.5593e-01
0, 0, 0, 105, 1.0039e+05, 1.5262e+02, 4.4560e+00, 7.4457e-01, 3.5595e-01
0, 0, 0, 105, 1.0227e+05, 1.5262e+02, 1.7150e+00, 7.4457e-01, 3.5594e-01
0, 0, 0, 105, 1.0416e+05, 1.5270e+02, 5.2469e+00, 7.4469e-01, 3.5594e-01
0, 0, 0, 105, 1.0604e+05, 1.5273e+02, 2.4407e+00, 7.4475e-01, 3.5594e-01
0, 0, 0, 105, 1.0793e+05, 1.5293e+02, 5.9095e+00, 7.4511e-01, 3.5589e-01
0, 0, 0, 105, 1.0982e+05, 1.5305e+02, 2.8851e+00, 7.4530e-01, 3.5588e-01
0, 0, 0, 105, 1.1171e+05, 1.5312e+02, 6.1309e+00, 7.4544e-01, 3.5582e-01
0, 0, 0, 105, 1.1361e+05, 1.5319e+02, 3.0052e+00, 7.4556e-01, 3.5581e-01
0, 0, 0, 105, 1.1550e+05, 1.5325e+02, 6.1356e+00, 7.4568e-01, 3.5574e-01
0, 0, 0, 105, 1.1740e+05, 1.5332e+02, 2.9268e+00, 7.4579e-01, 3.5573e-01
