# stability, res-p, res-q, id, time, a, psi, e, inc
0, 0, 0, 314, 0.0000e+00, 2.6151e+02, 1.2606e+00, 6.9408e-01, 4.2062e-01
0, 0, 0, 314, 4.2258e+03, 2.6150e+02, 3.4649e+00, 6.9407e-01, 4.2062e-01
0, 0, 0, 314, 8.4516e+03, 2.6150e+02, 5.6697e+00, 6.9407e-01, 4.2063e-01
0, 0, 0, 314, 1.2677e+04, 2.6151e+02, 1.5889e+00, 6.9408e-01, 4.2062e-01
0, 0, 0, 314, 1.6903e+04, 2.6150e+02, 3.7924e+00, 6.9407e-01, 4.2062e-01
0, 0, 0, 314, 2.1129e+04, 2.6150e+02, 5.9962e+00, 6.9407e-01, 4.2062e-01
0, 0, 0, 314, 2.5355e+04, 2.6151e+02, 1.9185e+00, 6.9408e-01, 4.2062e-01
0, 0, 0, 314, 2.9581e+04, 2.6150e+02, 4.1242e+00, 6.9408e-01, 4.2062e-01
0, 0, 0, 314, 3.3806e+04, 2.6150e+02, 4.0348e-02, 6.9407e-01, 4.2062e-01
0, 0, 0, 314, 3.8032e+04, 2.6150e+02, 2.2463e+00, 6.9408e-01, 4.2062e-01
0, 0, 0, 314, 4.2258e+04, 2.6151e+02, 4.4474e+00, 6.9408e-01, 4.2062e-01
0, 0, 0, 314, 4.6484e+04, 2.6150e+02, 3.7484e-01, 6.9407e-01, 4.2062e-01
0, 0, 0, 314, 5.0710e+04, 2.6150e+02, 2.5749e+00, 6.9407e-01, 4.2062e-01
0, 0, 0, 314, 5.4935e+04, 2.6151e+02, 4.7828e+00, 6.9408e-01, 4.2062e-01
0, 0, 0, 314, 5.9161e+04, 2.6150e+02, 6.9626e-01, 6.9408e-01, 4.2062e-01
0, 0, 0, 314, 6.3387e+04, 2.6150e+02, 2.9067e+00, 6.9407e-01, 4.2062e-01
0, 0, 0, 314, 6.7613e+04, 2.6151e+02, 5.1128e+00, 6.9408e-01, 4.2062e-01
0, 0, 0, 314, 7.1839e+04, 2.6151e+02, 1.0300e+00, 6.9408e-01, 4.2062e-01
0, 0, 0, 314, 7.6065e+04, 2.6150e+02, 3.2312e+00, 6.9407e-01, 4.2062e-01
0, 0, 0, 314, 8.0290e+04, 2.6150e+02, 5.4441e+00, 6.9408e-01, 4.2062e-01
0, 0, 0, 314, 8.4516e+04, 2.6151e+02, 1.3652e+00, 6.9408e-01, 4.2062e-01
0, 0, 0, 314, 8.8742e+04, 2.6150e+02, 3.5719e+00, 6.9407e-01, 4.2062e-01
0, 0, 0, 314, 9.2967e+04, 2.6150e+02, 5.7799e+00, 6.9407e-01, 4.2062e-01
0, 0, 0, 314, 9.7193e+04, 2.6151e+02, 1.6938e+00, 6.9408e-01, 4.2062e-01
0, 0, 0, 314, 1.0142e+05, 2.6150e+02, 3.9040e+00, 6.9407e-01, 4.2062e-01
0, 0, 0, 314, 1.0564e+05, 2.6150e+02, 6.1032e+00, 6.9407e-01, 4.2062e-01
0, 0, 0, 314, 1.0987e+05, 2.6151e+02, 2.0207e+00, 6.9408e-01, 4.2062e-01
0, 0, 0, 314, 1.1410e+05, 2.6150e+02, 4.2307e+00, 6.9408e-01, 4.2062e-01
0, 0, 0, 314, 1.1832e+05, 2.6150e+02, 1.5394e-01, 6.9407e-01, 4.2062e-01
0, 0, 0, 314, 1.2255e+05, 2.6150e+02, 2.3561e+00, 6.9408e-01, 4.2062e-01
0, 0, 0, 314, 1.2677e+05, 2.6151e+02, 4.5591e+00, 6.9408e-01, 4.2062e-01
0, 0, 0, 314, 1.3100e+05, 2.6150e+02, 4.8090e-01, 6.9407e-01, 4.2062e-01
0, 0, 0, 314, 1.3523e+05, 2.6150e+02, 2.6803e+00, 6.9407e-01, 4.2062e-01
0, 0, 0, 314, 1.3945e+05, 2.6151e+02, 4.8928e+00, 6.9408e-01, 4.2062e-01
0, 0, 0, 314, 1.4368e+05, 2.6150e+02, 8.1236e-01, 6.9408e-01, 4.2062e-01
0, 0, 0, 314, 1.4790e+05, 2.6150e+02, 3.0143e+00, 6.9407e-01, 4.2062e-01
0, 0, 0, 314, 1.5213e+05, 2.6151e+02, 5.2204e+00, 6.9408e-01, 4.2062e-01
0, 0, 0, 314, 1.5635e+05, 2.6151e+02, 1.1396e+00, 6.9408e-01, 4.2062e-01
0, 0, 0, 314, 1.6058e+05, 2.6150e+02, 3.3410e+00, 6.9407e-01, 4.2062e-01
0, 0, 0, 314, 1.6481e+05, 2.6150e+02, 5.5456e+00, 6.9407e-01, 4.2062e-01
0, 0, 0, 314, 1.6903e+05, 2.6151e+02, 1.4698e+00, 6.9408e-01, 4.2061e-01
0, 0, 0, 314, 1.7326e+05, 2.6150e+02, 3.6629e+00, 6.9407e-01, 4.2062e-01
0, 0, 0, 314, 1.7748e+05, 2.6150e+02, 5.8782e+00, 6.9407e-01, 4.2062e-01
0, 0, 0, 314, 1.8171e+05, 2.6151e+02, 1.7965e+00, 6.9408e-01, 4.2061e-01
0, 0, 0, 314, 1.8593e+05, 2.6150e+02, 3.9955e+00, 6.9407e-01, 4.2061e-01
0, 0, 0, 314, 1.9016e+05, 2.6150e+02, 6.2036e+00, 6.9407e-01, 4.2061e-01
0, 0, 0, 314, 1.9439e+05, 2.6151e+02, 2.1201e+00, 6.9408e-01, 4.2061e-01
0, 0, 0, 314, 1.9861e+05, 2.6151e+02, 4.3220e+00, 6.9408e-01, 4.2061e-01
0, 0, 0, 314, 2.0284e+05, 2.6150e+02, 2.4807e-01, 6.9407e-01, 4.2061e-01
0, 0, 0, 314, 2.0706e+05, 2.6150e+02, 2.4496e+00, 6.9407e-01, 4.2061e-01
0, 0, 0, 314, 2.1129e+05, 2.6151e+02, 4.6493e+00, 6.9408e-01, 4.2061e-01
0, 0, 0, 314, 2.1552e+05, 2.6150e+02, 5.7015e-01, 6.9407e-01, 4.2061e-01
0, 0, 0, 314, 2.1974e+05, 2.6150e+02, 2.7745e+00, 6.9407e-01, 4.2061e-01
0, 0, 0, 314, 2.2397e+05, 2.6151e+02, 4.9740e+00, 6.9408e-01, 4.2061e-01
0, 0, 0, 314, 2.2819e+05, 2.6151e+02, 8.9613e-01, 6.9408e-01, 4.2061e-01
0, 0, 0, 314, 2.3242e+05, 2.6150e+02, 3.1023e+00, 6.9407e-01, 4.2061e-01
0, 0, 0, 314, 2.3664e+05, 2.6151e+02, 5.3075e+00, 6.9408e-01, 4.2061e-01
0, 0, 0, 314, 2.4087e+05, 2.6151e+02, 1.2213e+00, 6.9408e-01, 4.2061e-01
0, 0, 0, 314, 2.4510e+05, 2.6150e+02, 3.4276e+00, 6.9407e-01, 4.2061e-01
0, 0, 0, 314, 2.4932e+05, 2.6150e+02, 5.6269e+00, 6.9407e-01, 4.2061e-01
0, 0, 0, 314, 2.5355e+05, 2.6151e+02, 1.5464e+00, 6.9408e-01, 4.2061e-01
0, 0, 0, 314, 2.5777e+05, 2.6150e+02, 3.7515e+00, 6.9407e-01, 4.2061e-01
0, 0, 0, 314, 2.6200e+05, 2.6150e+02, 5.9572e+00, 6.9407e-01, 4.2061e-01
0, 0, 0, 314, 2.6622e+05, 2.6151e+02, 1.8762e+00, 6.9408e-01, 4.2061e-01
