# stability, res-p, res-q, id, time, a, psi, e, inc
0, 0, 0, 105, 0.0000e+00, 6.7906e+02, 1.8022e-01, 9.4109e-01, 2.4417e-01
0, 0, 0, 105, 1.7550e+04, 6.7574e+02, 3.1724e+00, 9.4080e-01, 2.4421e-01
0, 0, 0, 105, 3.5106e+04, 6.7906e+02, 5.9740e+00, 9.4109e-01, 2.4423e-01
0, 0, 0, 105, 5.2901e+04, 6.8565e+02, 5.8973e+00, 9.4166e-01, 2.4425e-01
0, 0, 0, 105, 7.0924e+04, 6.8790e+02, 3.4236e+00, 9.4185e-01, 2.4425e-01
0, 0, 0, 105, 8.8925e+04, 6.8794e+02, 1.7920e+00, 9.4185e-01, 2.4425e-01
0, 0, 0, 105, 1.0697e+05, 6.8828e+02, 4.8111e+00, 9.4188e-01, 2.4424e-01
0, 0, 0, 110, 0.0000e+00, 6.7906e+02, 2.6749e-01, 9.4109e-01, 2.4417e-01
0, 0, 0, 110, 1.7525e+04, 6.7485e+02, 4.2128e+00, 9.4072e-01, 2.4419e-01
0, 0, 0, 110, 3.5006e+04, 6.7399e+02, 3.5613e+00, 9.4065e-01, 2.4420e-01
0, 0, 0, 110, 5.2454e+04, 6.7264e+02, 4.1967e+00, 9.4053e-01, 2.4420e-01
0, 0, 0, 115, 0.0000e+00, 6.7906e+02, 3.5476e-01, 9.4109e-01, 2.4417e-01
0, 0, 0, 115, 3.9789e-02, 6.7905e+02, 3.5324e-01, 9.4109e-01, 2.4417e-01
0, 0, 0, 115, 1.7526e+04, 6.7486e+02, 4.2745e+00, 9.4073e-01, 2.4418e-01
0, 0, 0, 115, 3.5009e+04, 6.7396e+02, 3.5649e+00, 9.4065e-01, 2.4419e-01
0, 0, 0, 115, 5.2456e+04, 6.7264e+02, 4.2147e+00, 9.4053e-01, 2.4419e-01
0, 0, 0, 120, 0.0000e+00, 6.7906e+02, 4.4202e-01, 9.4109e-01, 2.4417e-01
0, 0, 0, 120, 1.7541e+04, 6.7524e+02, 3.7889e+00, 9.4076e-01, 2.4418e-01
0, 0, 0, 120, 3.5026e+04, 6.7410e+02, 2.9771e+00, 9.4066e-01, 2.4419e-01
0, 0, 0, 120, 5.2520e+04, 6.7538e+02, 1.8474e+00, 9.4077e-01, 2.4418e-01
0, 0, 0, 120, 7.0064e+04, 6.7587e+02, 5.0624e+00, 9.4081e-01, 2.4418e-01
0, 0, 0, 120, 8.7630e+04, 6.7657e+02, 1.1600e+00, 9.4088e-01, 2.4419e-01
0, 0, 0, 120, 1.0520e+05, 6.7646e+02, 3.4902e+00, 9.4087e-01, 2.4419e-01
0, 0, 0, 120, 1.2275e+05, 6.7413e+02, 1.2807e-01, 9.4067e-01, 2.4424e-01
0, 0, 0, 120, 1.4011e+05, 6.7074e+02, 4.0359e+00, 9.4036e-01, 2.4426e-01
0, 0, 0, 121, 0.0000e+00, 6.7906e+02, 4.5948e-01, 9.4109e-01, 2.4417e-01
0, 0, 0, 121, 1.7545e+04, 6.7518e+02, 3.6713e+00, 9.4076e-01, 2.4418e-01
0, 0, 0, 121, 3.5038e+04, 6.7532e+02, 2.5520e+00, 9.4077e-01, 2.4418e-01
0, 0, 0, 121, 5.2586e+04, 6.7780e+02, 5.6305e+00, 9.4098e-01, 2.4419e-01
0, 0, 0, 121, 7.0279e+04, 6.7964e+02, 3.1750e+00, 9.4115e-01, 2.4418e-01
0, 0, 0, 121, 8.7973e+04, 6.7869e+02, 6.6358e-01, 9.4106e-01, 2.4419e-01
0, 0, 0, 121, 1.0555e+05, 6.7673e+02, 2.8002e+00, 9.4089e-01, 2.4420e-01
0, 0, 0, 121, 1.2313e+05, 6.7653e+02, 4.3684e+00, 9.4087e-01, 2.4420e-01
0, 0, 0, 121, 1.4068e+05, 6.7565e+02, 1.1814e+00, 9.4079e-01, 2.4420e-01
0, 0, 0, 121, 1.5822e+05, 6.7542e+02, 4.7201e+00, 9.4078e-01, 2.4420e-01
0, 0, 0, 121, 1.7572e+05, 6.7500e+02, 3.0845e+00, 9.4074e-01, 2.4420e-01
0, 0, 0, 121, 1.9324e+05, 6.7518e+02, 1.0895e+00, 9.4075e-01, 2.4420e-01
0, 0, 0, 121, 2.1074e+05, 6.7829e+02, 5.9829e+00, 9.4103e-01, 2.4424e-01
0, 0, 0, 121, 2.2851e+05, 6.8033e+02, 7.4004e-01, 9.4120e-01, 2.4423e-01
0, 0, 0, 121, 2.4615e+05, 6.7565e+02, 3.0225e-01, 9.4080e-01, 2.4426e-01
0, 0, 0, 121, 2.6351e+05, 6.7051e+02, 4.0908e+00, 9.4034e-01, 2.4428e-01
0, 0, 0, 121, 2.8083e+05, 6.7031e+02, 3.1599e+00, 9.4032e-01, 2.4428e-01
0, 0, 0, 135, 0.0000e+00, 6.7906e+02, 7.0382e-01, 9.4109e-01, 2.4417e-01
0, 0, 0, 135, 3.9789e-02, 6.7905e+02, 7.0230e-01, 9.4109e-01, 2.4417e-01
0, 0, 0, 135, 1.7600e+04, 6.7774e+02, 1.8042e+00, 9.4098e-01, 2.4417e-01
0, 0, 0, 135, 3.5243e+04, 6.7832e+02, 1.2520e+00, 9.4103e-01, 2.4416e-01
0, 0, 0, 135, 5.2885e+04, 6.7724e+02, 7.5616e-01, 9.4094e-01, 2.4417e-01
0, 0, 0, 135, 7.0422e+04, 6.7521e+02, 4.2527e+00, 9.4076e-01, 2.4417e-01
0, 0, 0, 135, 8.7917e+04, 6.7454e+02, 3.0431e+00, 9.4070e-01, 2.4418e-01
0, 0, 0, 135, 1.0542e+05, 6.7528e+02, 1.6537e+00, 9.4076e-01, 2.4417e-01
0, 0, 0, 135, 1.2294e+05, 6.7713e+02, 5.5350e+00, 9.4093e-01, 2.4418e-01
0, 0, 0, 135, 1.4058e+05, 6.7943e+02, 5.3847e+00, 9.4113e-01, 2.4418e-01
0, 0, 0, 135, 1.5828e+05, 6.8013e+02, 2.5018e+00, 9.4119e-01, 2.4418e-01
0, 0, 0, 135, 1.7602e+05, 6.8072e+02, 4.4493e+00, 9.4124e-01, 2.4418e-01
0, 0, 0, 135, 1.9373e+05, 6.7983e+02, 1.3941e+00, 9.4116e-01, 2.4418e-01
0, 0, 0, 135, 2.1145e+05, 6.7964e+02, 4.3478e+00, 9.4115e-01, 2.4418e-01
0, 0, 0, 135, 2.2911e+05, 6.7884e+02, 3.0592e+00, 9.4108e-01, 2.4419e-01
0, 0, 0, 135, 2.4679e+05, 6.7911e+02, 1.1906e+00, 9.4110e-01, 2.4419e-01
0, 0, 0, 135, 2.6445e+05, 6.8201e+02, 6.1412e+00, 9.4135e-01, 2.4425e-01
0, 0, 0, 135, 2.8234e+05, 6.8543e+02, 2.3160e+00, 9.4164e-01, 2.4423e-01
0, 0, 0, 135, 3.0029e+05, 6.8637e+02, 2.9360e+00, 9.4172e-01, 2.4423e-01
0, 0, 0, 135, 3.1825e+05, 6.8651e+02, 2.8364e+00, 9.4174e-01, 2.4423e-01
0, 0, 0, 135, 3.3623e+05, 6.8765e+02, 1.8506e+00, 9.4183e-01, 2.4423e-01
0, 0, 0, 135, 3.5427e+05, 6.8846e+02, 4.8908e+00, 9.4190e-01, 2.4423e-01
0, 0, 0, 130, 0.0000e+00, 6.7906e+02, 6.1656e-01, 9.4109e-01, 2.4417e-01
0, 0, 0, 130, 1.7581e+04, 6.7735e+02, 2.4262e+00, 9.4095e-01, 2.4417e-01
0, 0, 0, 130, 3.5200e+04, 6.7786e+02, 2.8299e+00, 9.4099e-01, 2.4417e-01
0, 0, 0, 130, 5.2845e+04, 6.7904e+02, 2.1876e+00, 9.4109e-01, 2.4417e-01
0, 0, 0, 130, 7.0551e+04, 6.8163e+02, 5.5060e+00, 9.4132e-01, 2.4417e-01
0, 0, 0, 130, 8.8351e+04, 6.8325e+02, 5.2821e+00, 9.4146e-01, 2.4417e-01
0, 0, 0, 130, 1.0620e+05, 6.8420e+02, 3.0766e+00, 9.4154e-01, 2.4417e-01
0, 0, 0, 130, 1.2407e+05, 6.8310e+02, 2.7980e-02, 9.4145e-01, 2.4424e-01
0, 0, 0, 130, 1.4185e+05, 6.8060e+02, 7.6574e-01, 9.4123e-01, 2.4424e-01
0, 0, 0, 130, 1.5951e+05, 6.8167e+02, 5.6655e+00, 9.4132e-01, 2.4425e-01
0, 0, 0, 130, 1.7735e+05, 6.8241e+02, 4.2035e+00, 9.4138e-01, 2.4424e-01
0, 0, 0, 130, 1.9512e+05, 6.8159e+02, 4.9013e+00, 9.4131e-01, 2.4425e-01
0, 0, 0, 130, 2.1289e+05, 6.8535e+02, 5.9822e+00, 9.4164e-01, 2.4429e-01
0, 0, 0, 140, 0.0000e+00, 6.7906e+02, 7.9109e-01, 9.4109e-01, 2.4417e-01
0, 0, 0, 140, 1.7616e+04, 6.7787e+02, 1.2878e+00, 9.4099e-01, 2.4416e-01
0, 0, 0, 140, 3.5236e+04, 6.7801e+02, 1.6267e+00, 9.4100e-01, 2.4416e-01
0, 0, 0, 140, 5.2885e+04, 6.7766e+02, 8.4336e-01, 9.4097e-01, 2.4417e-01
0, 0, 0, 140, 7.0454e+04, 6.7655e+02, 3.1304e+00, 9.4088e-01, 2.4417e-01
0, 0, 0, 140, 8.8026e+04, 6.7740e+02, 5.2505e+00, 9.4095e-01, 2.4417e-01
0, 0, 0, 140, 1.0563e+05, 6.8095e+02, 6.0795e+00, 9.4126e-01, 2.4422e-01
0, 0, 0, 140, 1.2349e+05, 6.8342e+02, 3.4985e+00, 9.4147e-01, 2.4419e-01
0, 0, 0, 140, 1.4132e+05, 6.8409e+02, 2.1742e+00, 9.4153e-01, 2.4419e-01
0, 0, 0, 140, 1.5921e+05, 6.8432e+02, 4.8206e+00, 9.4155e-01, 2.4420e-01
0, 0, 0, 140, 1.7709e+05, 6.8458e+02, 1.4458e+00, 9.4157e-01, 2.4420e-01
0, 0, 0, 140, 1.9498e+05, 6.8420e+02, 4.0788e+00, 9.4154e-01, 2.4420e-01
0, 0, 0, 140, 2.1282e+05, 6.8399e+02, 2.4422e+00, 9.4152e-01, 2.4420e-01
0, 0, 0, 140, 2.3071e+05, 6.8483e+02, 5.0419e+00, 9.4159e-01, 2.4420e-01
0, 0, 0, 140, 2.4861e+05, 6.8427e+02, 7.0157e-01, 9.4154e-01, 2.4421e-01
0, 0, 0, 140, 2.6641e+05, 6.8097e+02, 8.0972e-01, 9.4126e-01, 2.4422e-01
0, 0, 0, 140, 2.8409e+05, 6.7929e+02, 4.9422e+00, 9.4111e-01, 2.4422e-01
0, 0, 0, 140, 3.0176e+05, 6.7926e+02, 3.1786e+00, 9.4111e-01, 2.4423e-01
0, 0, 0, 140, 3.1943e+05, 6.7931e+02, 1.8936e+00, 9.4112e-01, 2.4423e-01
0, 0, 0, 140, 3.3715e+05, 6.7967e+02, 4.7659e+00, 9.4115e-01, 2.4423e-01
0, 0, 0, 140, 3.5483e+05, 6.7963e+02, 2.7212e+00, 9.4115e-01, 2.4423e-01
0, 0, 0, 140, 3.7253e+05, 6.8205e+02, 6.2037e+00, 9.4136e-01, 2.4430e-01
0, 0, 0, 140, 3.9039e+05, 6.8388e+02, 3.5272e+00, 9.4151e-01, 2.4427e-01
0, 0, 0, 140, 4.0823e+05, 6.8397e+02, 1.6639e+00, 9.4152e-01, 2.4427e-01
0, 0, 0, 140, 4.2613e+05, 6.8395e+02, 4.2227e+00, 9.4152e-01, 2.4428e-01
0, 0, 0, 140, 4.4398e+05, 6.8416e+02, 2.0817e+00, 9.4153e-01, 2.4428e-01
0, 0, 0, 140, 4.6187e+05, 6.8422e+02, 4.4499e+00, 9.4154e-01, 2.4428e-01
0, 0, 0, 140, 4.7973e+05, 6.8405e+02, 2.0759e+00, 9.4153e-01, 2.4428e-01
0, 0, 0, 140, 4.9763e+05, 6.8445e+02, 4.2815e+00, 9.4156e-01, 2.4428e-01
0, 0, 0, 140, 5.1549e+05, 6.8451e+02, 1.5452e+00, 9.4156e-01, 2.4428e-01
0, 0, 0, 140, 5.3339e+05, 6.8438e+02, 4.0046e+00, 9.4156e-01, 2.4429e-01
0, 0, 0, 140, 5.5124e+05, 6.8459e+02, 1.7734e+00, 9.4157e-01, 2.4429e-01
0, 0, 0, 140, 5.6914e+05, 6.8474e+02, 3.7638e+00, 9.4159e-01, 2.4429e-01
0, 0, 0, 140, 5.8701e+05, 6.8311e+02, 8.9295e-01, 9.4144e-01, 2.4430e-01
