# stability, res-p, res-q, id, time, a, psi, e, inc
1, 23, 2, 106, 0.0000e+00, 1.5318e+02, 1.9768e-01, 7.4540e-01, 4.7298e-01
1, 23, 2, 106, 1.8931e+03, 1.5310e+02, 3.4184e+00, 7.4525e-01, 4.7304e-01
1, 23, 2, 106, 3.7860e+03, 1.5301e+02, 3.2624e-01, 7.4510e-01, 4.7303e-01
1, 23, 2, 106, 5.6749e+03, 1.5287e+02, 3.7051e+00, 7.4486e-01, 4.7307e-01
1, 23, 2, 106, 7.5634e+03, 1.5283e+02, 7.8220e-01, 7.4477e-01, 4.7307e-01
1, 23, 2, 106, 9.4500e+03, 1.5273e+02, 4.2421e+00, 7.4461e-01, 4.7308e-01
1, 23, 2, 106, 1.1336e+04, 1.5271e+02, 1.4438e+00, 7.4458e-01, 4.7308e-01
1, 23, 2, 106, 1.3222e+04, 1.5273e+02, 4.9100e+00, 7.4461e-01, 4.7307e-01
1, 23, 2, 106, 1.5108e+04, 1.5274e+02, 2.1083e+00, 7.4464e-01, 4.7307e-01
1, 23, 2, 106, 1.6995e+04, 1.5283e+02, 5.5237e+00, 7.4478e-01, 4.7305e-01
1, 23, 2, 106, 1.8884e+04, 1.5290e+02, 2.6255e+00, 7.4491e-01, 4.7305e-01
1, 23, 2, 106, 2.0773e+04, 1.5298e+02, 5.9499e+00, 7.4504e-01, 4.7303e-01
1, 23, 2, 106, 2.2666e+04, 1.5312e+02, 2.8785e+00, 7.4527e-01, 4.7303e-01
1, 23, 2, 106, 2.4559e+04, 1.5315e+02, 6.0622e+00, 7.4533e-01, 4.7302e-01
1, 23, 2, 106, 2.6456e+04, 1.5330e+02, 2.8554e+00, 7.4557e-01, 4.7304e-01
1, 23, 2, 106, 2.8353e+04, 1.5340e+02, 5.8971e+00, 7.4575e-01, 4.7302e-01
1, 23, 2, 106, 3.0254e+04, 1.5358e+02, 2.4989e+00, 7.4604e-01, 4.7302e-01
1, 23, 2, 106, 3.2157e+04, 1.5363e+02, 5.3688e+00, 7.4612e-01, 4.7299e-01
1, 23, 2, 106, 3.4060e+04, 1.5369e+02, 1.8822e+00, 7.4621e-01, 4.7300e-01
1, 23, 2, 106, 3.5964e+04, 1.5371e+02, 4.6750e+00, 7.4625e-01, 4.7298e-01
1, 23, 2, 106, 3.7868e+04, 1.5368e+02, 1.1664e+00, 7.4620e-01, 4.7298e-01
1, 23, 2, 106, 3.9771e+04, 1.5362e+02, 4.0031e+00, 7.4610e-01, 4.7298e-01
1, 23, 2, 106, 4.1673e+04, 1.5354e+02, 5.6275e-01, 7.4597e-01, 4.7298e-01
1, 23, 2, 106, 4.3572e+04, 1.5342e+02, 3.5413e+00, 7.4577e-01, 4.7301e-01
1, 23, 2, 106, 4.5471e+04, 1.5330e+02, 2.5723e-01, 7.4557e-01, 4.7301e-01
1, 23, 2, 106, 4.7365e+04, 1.5317e+02, 3.4041e+00, 7.4534e-01, 4.7305e-01
1, 23, 2, 106, 4.9259e+04, 1.5306e+02, 3.0538e-01, 7.4514e-01, 4.7306e-01
1, 23, 2, 106, 5.1149e+04, 1.5291e+02, 3.6104e+00, 7.4488e-01, 4.7310e-01
1, 23, 2, 106, 5.3038e+04, 1.5283e+02, 7.0424e-01, 7.4475e-01, 4.7310e-01
1, 23, 2, 106, 5.4924e+04, 1.5272e+02, 4.1420e+00, 7.4455e-01, 4.7311e-01
1, 23, 2, 106, 5.6809e+04, 1.5269e+02, 1.3787e+00, 7.4450e-01, 4.7312e-01
1, 23, 2, 106, 5.8695e+04, 1.5269e+02, 4.8702e+00, 7.4449e-01, 4.7311e-01
1, 23, 2, 106, 6.0580e+04, 1.5271e+02, 2.1077e+00, 7.4453e-01, 4.7311e-01
