# stability, res-p, res-q, id, time, a, psi, e, inc
0, 0, 0, 161, 0.0000e+00, 2.4551e+02, 1.1576e+00, 8.4115e-01, 3.7527e-01
0, 0, 0, 161, 3.8426e+03, 2.4565e+02, 5.4082e+00, 8.4124e-01, 3.7527e-01
0, 0, 0, 161, 7.6914e+03, 2.4574e+02, 3.1437e+00, 8.4130e-01, 3.7528e-01
0, 0, 0, 161, 1.1540e+04, 2.4565e+02, 8.7327e-01, 8.4124e-01, 3.7528e-01
0, 0, 0, 161, 1.5384e+04, 2.4553e+02, 5.0994e+00, 8.4116e-01, 3.7529e-01
0, 0, 0, 161, 1.9229e+04, 2.4559e+02, 2.9833e+00, 8.4120e-01, 3.7529e-01
0, 0, 0, 161, 2.3074e+04, 2.4546e+02, 8.7137e-01, 8.4112e-01, 3.7529e-01
0, 0, 0, 161, 2.6914e+04, 2.4545e+02, 5.2168e+00, 8.4110e-01, 3.7530e-01
0, 0, 0, 161, 3.0756e+04, 2.4544e+02, 3.1872e+00, 8.4111e-01, 3.7531e-01
0, 0, 0, 161, 3.4598e+04, 2.4547e+02, 1.1550e+00, 8.4112e-01, 3.7530e-01
0, 0, 0, 161, 3.8440e+04, 2.4559e+02, 5.4604e+00, 8.4120e-01, 3.7531e-01
0, 0, 0, 161, 4.2287e+04, 2.4571e+02, 3.2278e+00, 8.4128e-01, 3.7531e-01
0, 0, 0, 161, 4.6135e+04, 2.4564e+02, 1.0113e+00, 8.4123e-01, 3.7531e-01
0, 0, 0, 161, 4.9981e+04, 2.4564e+02, 5.1503e+00, 8.4123e-01, 3.7532e-01
0, 0, 0, 161, 5.3827e+04, 2.4565e+02, 2.9957e+00, 8.4124e-01, 3.7532e-01
0, 0, 0, 161, 5.7674e+04, 2.4553e+02, 7.9441e-01, 8.4116e-01, 3.7533e-01
0, 0, 0, 161, 6.1514e+04, 2.4546e+02, 5.1417e+00, 8.4111e-01, 3.7534e-01
0, 0, 0, 161, 6.5357e+04, 2.4547e+02, 3.0990e+00, 8.4112e-01, 3.7534e-01
0, 0, 0, 161, 6.9198e+04, 2.4540e+02, 1.0906e+00, 8.4107e-01, 3.7534e-01
0, 0, 0, 161, 7.3039e+04, 2.4555e+02, 5.4246e+00, 8.4117e-01, 3.7534e-01
