# stability, res-p, res-q, id, time, a, psi, e, inc
0, 0, 0, 105, 0.0000e+00, 1.4871e+02, 1.8022e-01, 7.2430e-01, 5.8538e-01
0, 0, 0, 105, 1.8112e+03, 1.4861e+02, 2.3988e-01, 7.2409e-01, 5.8543e-01
0, 0, 0, 105, 3.6197e+03, 1.4848e+02, 3.6819e-01, 7.2382e-01, 5.8547e-01
0, 0, 0, 105, 5.4251e+03, 1.4832e+02, 6.4528e-01, 7.2352e-01, 5.8550e-01
0, 0, 0, 105, 7.2284e+03, 1.4823e+02, 9.8129e-01, 7.2334e-01, 5.8551e-01
0, 0, 0, 105, 9.0308e+03, 1.4820e+02, 1.3539e+00, 7.2328e-01, 5.8551e-01
0, 0, 0, 105, 1.0833e+04, 1.4822e+02, 1.7350e+00, 7.2333e-01, 5.8551e-01
0, 0, 0, 105, 1.2637e+04, 1.4827e+02, 2.0466e+00, 7.2343e-01, 5.8550e-01
0, 0, 0, 105, 1.4442e+04, 1.4831e+02, 2.3565e+00, 7.2352e-01, 5.8550e-01
0, 0, 0, 105, 1.6247e+04, 1.4836e+02, 2.5954e+00, 7.2361e-01, 5.8549e-01
0, 0, 0, 105, 1.8053e+04, 1.4839e+02, 2.8533e+00, 7.2366e-01, 5.8549e-01
0, 0, 0, 105, 1.9860e+04, 1.4841e+02, 3.0666e+00, 7.2370e-01, 5.8549e-01
0, 0, 0, 105, 2.1666e+04, 1.4840e+02, 3.2748e+00, 7.2369e-01, 5.8549e-01
0, 0, 0, 105, 2.3473e+04, 1.4840e+02, 3.5024e+00, 7.2368e-01, 5.8549e-01
0, 0, 0, 105, 2.5279e+04, 1.4836e+02, 3.7133e+00, 7.2362e-01, 5.8550e-01
0, 0, 0, 105, 2.7085e+04, 1.4833e+02, 3.9814e+00, 7.2355e-01, 5.8550e-01
0, 0, 0, 105, 2.8890e+04, 1.4828e+02, 4.2484e+00, 7.2346e-01, 5.8551e-01
0, 0, 0, 105, 3.0694e+04, 1.4824e+02, 4.5698e+00, 7.2338e-01, 5.8551e-01
0, 0, 0, 105, 3.2497e+04, 1.4822e+02, 4.9246e+00, 7.2333e-01, 5.8551e-01
0, 0, 0, 105, 3.4300e+04, 1.4822e+02, 5.2733e+00, 7.2334e-01, 5.8552e-01
0, 0, 0, 105, 3.6103e+04, 1.4829e+02, 5.6316e+00, 7.2347e-01, 5.8552e-01
0, 0, 0, 105, 3.7909e+04, 1.4839e+02, 5.8839e+00, 7.2367e-01, 5.8553e-01
0, 0, 0, 105, 3.9717e+04, 1.4853e+02, 6.0622e+00, 7.2392e-01, 5.8555e-01
0, 0, 0, 105, 4.1527e+04, 1.4866e+02, 6.1144e+00, 7.2416e-01, 5.8557e-01
0, 0, 0, 105, 4.3340e+04, 1.4880e+02, 6.0807e+00, 7.2442e-01, 5.8560e-01
0, 0, 0, 105, 4.5157e+04, 1.4900e+02, 5.9387e+00, 7.2477e-01, 5.8561e-01
0, 0, 0, 105, 4.6976e+04, 1.4917e+02, 5.6530e+00, 7.2509e-01, 5.8559e-01
0, 0, 0, 105, 4.8797e+04, 1.4924e+02, 5.3256e+00, 7.2523e-01, 5.8558e-01
0, 0, 0, 105, 5.0620e+04, 1.4926e+02, 4.9269e+00, 7.2526e-01, 5.8558e-01
0, 0, 0, 105, 5.2442e+04, 1.4923e+02, 4.5709e+00, 7.2521e-01, 5.8558e-01
0, 0, 0, 105, 5.4263e+04, 1.4917e+02, 4.2238e+00, 7.2509e-01, 5.8560e-01
0, 0, 0, 105, 5.6083e+04, 1.4914e+02, 3.9232e+00, 7.2504e-01, 5.8560e-01
0, 0, 0, 105, 5.7903e+04, 1.4910e+02, 3.6549e+00, 7.2496e-01, 5.8561e-01
0, 0, 0, 105, 5.9721e+04, 1.4906e+02, 3.3947e+00, 7.2489e-01, 5.8562e-01
0, 0, 0, 105, 6.1540e+04, 1.4906e+02, 3.1725e+00, 7.2489e-01, 5.8562e-01
0, 0, 0, 105, 6.3358e+04, 1.4907e+02, 2.9164e+00, 7.2492e-01, 5.8562e-01
0, 0, 0, 105, 6.5177e+04, 1.4909e+02, 2.6810e+00, 7.2494e-01, 5.8562e-01
0, 0, 0, 105, 6.6997e+04, 1.4912e+02, 2.4078e+00, 7.2500e-01, 5.8561e-01
0, 0, 0, 105, 6.8817e+04, 1.4918e+02, 2.1105e+00, 7.2512e-01, 5.8560e-01
0, 0, 0, 105, 7.0638e+04, 1.4922e+02, 1.7860e+00, 7.2519e-01, 5.8560e-01
0, 0, 0, 105, 7.2459e+04, 1.4925e+02, 1.4079e+00, 7.2524e-01, 5.8559e-01
0, 0, 0, 105, 7.4281e+04, 1.4925e+02, 1.0600e+00, 7.2525e-01, 5.8558e-01
0, 0, 0, 105, 7.6103e+04, 1.4918e+02, 6.9772e-01, 7.2511e-01, 5.8559e-01
0, 0, 0, 105, 7.7922e+04, 1.4905e+02, 4.5038e-01, 7.2488e-01, 5.8561e-01
0, 0, 0, 105, 7.9738e+04, 1.4889e+02, 2.9863e-01, 7.2457e-01, 5.8565e-01
0, 0, 0, 105, 8.1551e+04, 1.4873e+02, 2.5725e-01, 7.2425e-01, 5.8570e-01
0, 0, 0, 105, 8.3362e+04, 1.4856e+02, 3.3724e-01, 7.2392e-01, 5.8574e-01
0, 0, 0, 105, 8.5169e+04, 1.4840e+02, 5.1584e-01, 7.2361e-01, 5.8577e-01
0, 0, 0, 105, 8.6973e+04, 1.4826e+02, 8.3544e-01, 7.2333e-01, 5.8579e-01
0, 0, 0, 105, 8.8776e+04, 1.4821e+02, 1.1919e+00, 7.2323e-01, 5.8579e-01
0, 0, 0, 105, 9.0578e+04, 1.4820e+02, 1.5753e+00, 7.2321e-01, 5.8579e-01
0, 0, 0, 105, 9.2381e+04, 1.4824e+02, 1.9384e+00, 7.2329e-01, 5.8579e-01
0, 0, 0, 105, 9.4185e+04, 1.4829e+02, 2.2573e+00, 7.2339e-01, 5.8578e-01
0, 0, 0, 105, 9.5989e+04, 1.4833e+02, 2.5629e+00, 7.2347e-01, 5.8578e-01
0, 0, 0, 105, 9.7795e+04, 1.4836e+02, 2.8109e+00, 7.2353e-01, 5.8578e-01
0, 0, 0, 105, 9.9601e+04, 1.4838e+02, 3.0613e+00, 7.2358e-01, 5.8577e-01
0, 0, 0, 105, 1.0141e+05, 1.4839e+02, 3.2918e+00, 7.2359e-01, 5.8577e-01
0, 0, 0, 105, 1.0321e+05, 1.4837e+02, 3.5286e+00, 7.2356e-01, 5.8578e-01
0, 0, 0, 105, 1.0502e+05, 1.4835e+02, 3.7865e+00, 7.2352e-01, 5.8578e-01
0, 0, 0, 105, 1.0682e+05, 1.4831e+02, 4.0410e+00, 7.2344e-01, 5.8579e-01
0, 0, 0, 105, 1.0863e+05, 1.4827e+02, 4.3574e+00, 7.2336e-01, 5.8579e-01
0, 0, 0, 105, 1.1043e+05, 1.4823e+02, 4.6781e+00, 7.2329e-01, 5.8580e-01
0, 0, 0, 105, 1.1223e+05, 1.4822e+02, 5.0412e+00, 7.2327e-01, 5.8580e-01
0, 0, 0, 105, 1.1404e+05, 1.4825e+02, 5.3848e+00, 7.2333e-01, 5.8580e-01
0, 0, 0, 105, 1.1584e+05, 1.4833e+02, 5.6867e+00, 7.2349e-01, 5.8581e-01
0, 0, 0, 105, 1.1765e+05, 1.4846e+02, 5.9188e+00, 7.2373e-01, 5.8582e-01
0, 0, 0, 105, 1.1946e+05, 1.4861e+02, 6.0212e+00, 7.2401e-01, 5.8584e-01
0, 0, 0, 105, 1.2127e+05, 1.4879e+02, 6.0175e+00, 7.2434e-01, 5.8585e-01
0, 0, 0, 105, 1.2309e+05, 1.4899e+02, 5.8753e+00, 7.2471e-01, 5.8585e-01
0, 0, 0, 105, 1.2491e+05, 1.4914e+02, 5.6316e+00, 7.2500e-01, 5.8584e-01
0, 0, 0, 105, 1.2673e+05, 1.4921e+02, 5.3017e+00, 7.2512e-01, 5.8583e-01
0, 0, 0, 105, 1.2855e+05, 1.4923e+02, 4.9459e+00, 7.2516e-01, 5.8583e-01
0, 0, 0, 105, 1.3037e+05, 1.4920e+02, 4.6029e+00, 7.2511e-01, 5.8583e-01
0, 0, 0, 105, 1.3219e+05, 1.4915e+02, 4.2748e+00, 7.2500e-01, 5.8584e-01
0, 0, 0, 105, 1.3401e+05, 1.4911e+02, 4.0027e+00, 7.2493e-01, 5.8585e-01
0, 0, 0, 105, 1.3583e+05, 1.4907e+02, 3.7494e+00, 7.2485e-01, 5.8585e-01
0, 0, 0, 105, 1.3765e+05, 1.4901e+02, 3.5296e+00, 7.2475e-01, 5.8586e-01
0, 0, 0, 105, 1.3946e+05, 1.4901e+02, 3.3341e+00, 7.2474e-01, 5.8587e-01
0, 0, 0, 105, 1.4128e+05, 1.4901e+02, 3.1284e+00, 7.2475e-01, 5.8587e-01
