# stability, res-p, res-q, id, time, a, psi, e, inc
0, 0, 0, 110, 0.0000e+00, 1.5934e+02, 2.6749e-01, 7.6151e-01, 2.7070e-01
0, 0, 0, 110, 3.9789e-02, 1.5934e+02, 2.6597e-01, 7.6151e-01, 2.7070e-01
0, 0, 0, 110, 2.0035e+03, 1.5911e+02, 5.5615e+00, 7.6115e-01, 2.7071e-01
0, 0, 0, 110, 4.0101e+03, 1.5914e+02, 4.4153e+00, 7.6119e-01, 2.7070e-01
0, 0, 0, 110, 6.0147e+03, 1.5907e+02, 3.3820e+00, 7.6109e-01, 2.7071e-01
0, 0, 0, 110, 8.0190e+03, 1.5908e+02, 2.3232e+00, 7.6111e-01, 2.7071e-01
0, 0, 0, 110, 1.0025e+04, 1.5913e+02, 1.2527e+00, 7.6117e-01, 2.7071e-01
0, 0, 0, 110, 1.2030e+04, 1.5894e+02, 1.4785e-01, 7.6091e-01, 2.7079e-01
0, 0, 0, 110, 1.4026e+04, 1.5880e+02, 5.7231e+00, 7.6068e-01, 2.7081e-01
0, 0, 0, 110, 1.6029e+04, 1.5892e+02, 4.7450e+00, 7.6085e-01, 2.7079e-01
0, 0, 0, 110, 1.8029e+04, 1.5884e+02, 3.8526e+00, 7.6074e-01, 2.7080e-01
0, 0, 0, 110, 2.0029e+04, 1.5881e+02, 2.9880e+00, 7.6070e-01, 2.7080e-01
0, 0, 0, 110, 2.2029e+04, 1.5887e+02, 2.1188e+00, 7.6078e-01, 2.7080e-01
0, 0, 0, 110, 2.4030e+04, 1.5893e+02, 1.1953e+00, 7.6086e-01, 2.7080e-01
0, 0, 0, 110, 2.6032e+04, 1.5869e+02, 2.4262e-01, 7.6053e-01, 2.7086e-01
0, 0, 0, 110, 2.8023e+04, 1.5867e+02, 5.9991e+00, 7.6048e-01, 2.7091e-01
0, 0, 0, 110, 3.0024e+04, 1.5891e+02, 5.0654e+00, 7.6082e-01, 2.7088e-01
0, 0, 0, 110, 3.2026e+04, 1.5887e+02, 4.1498e+00, 7.6078e-01, 2.7088e-01
0, 0, 0, 110, 3.4026e+04, 1.5884e+02, 3.2582e+00, 7.6074e-01, 2.7089e-01
0, 0, 0, 110, 3.6026e+04, 1.5887e+02, 2.3844e+00, 7.6078e-01, 2.7089e-01
0, 0, 0, 110, 3.8027e+04, 1.5892e+02, 1.4542e+00, 7.6084e-01, 2.7089e-01
0, 0, 0, 110, 4.0029e+04, 1.5881e+02, 5.3212e-01, 7.6068e-01, 2.7090e-01
0, 0, 0, 110, 4.2025e+04, 1.5889e+02, 6.0798e+00, 7.6083e-01, 2.7098e-01
0, 0, 0, 110, 4.4030e+04, 1.5917e+02, 4.9967e+00, 7.6123e-01, 2.7094e-01
0, 0, 0, 110, 4.6037e+04, 1.5915e+02, 3.8722e+00, 7.6119e-01, 2.7095e-01
0, 0, 0, 110, 4.8042e+04, 1.5913e+02, 2.7930e+00, 7.6117e-01, 2.7096e-01
0, 0, 0, 110, 5.0048e+04, 1.5917e+02, 1.6899e+00, 7.6122e-01, 2.7096e-01
0, 0, 0, 110, 5.2055e+04, 1.5908e+02, 5.5484e-01, 7.6108e-01, 2.7097e-01
0, 0, 0, 110, 5.4056e+04, 1.5916e+02, 5.9243e+00, 7.6121e-01, 2.7101e-01
0, 0, 0, 110, 5.6066e+04, 1.5934e+02, 4.6574e+00, 7.6148e-01, 2.7098e-01
0, 0, 0, 110, 5.8075e+04, 1.5929e+02, 3.4397e+00, 7.6141e-01, 2.7099e-01
0, 0, 0, 110, 6.0083e+04, 1.5932e+02, 2.2406e+00, 7.6145e-01, 2.7099e-01
0, 0, 0, 110, 6.2093e+04, 1.5934e+02, 1.0017e+00, 7.6147e-01, 2.7099e-01
0, 0, 0, 110, 6.4102e+04, 1.5961e+02, 6.0618e+00, 7.6191e-01, 2.7107e-01
0, 0, 0, 110, 6.6122e+04, 1.5988e+02, 4.4371e+00, 7.6229e-01, 2.7104e-01
0, 0, 0, 110, 6.8141e+04, 1.5990e+02, 2.8144e+00, 7.6233e-01, 2.7104e-01
0, 0, 0, 110, 7.0162e+04, 1.5992e+02, 1.1822e+00, 7.6236e-01, 2.7104e-01
0, 0, 0, 110, 7.2182e+04, 1.6014e+02, 5.8007e+00, 7.6268e-01, 2.7106e-01
0, 0, 0, 110, 7.4209e+04, 1.6024e+02, 3.8947e+00, 7.6284e-01, 2.7105e-01
0, 0, 0, 110, 7.6235e+04, 1.6023e+02, 2.0101e+00, 7.6282e-01, 2.7105e-01
0, 0, 0, 110, 7.8263e+04, 1.6010e+02, 1.0299e-01, 7.6264e-01, 2.7114e-01
0, 0, 0, 110, 8.0281e+04, 1.5980e+02, 4.7959e+00, 7.6216e-01, 2.7114e-01
0, 0, 0, 110, 8.2299e+04, 1.5978e+02, 3.2443e+00, 7.6215e-01, 2.7115e-01
0, 0, 0, 110, 8.4317e+04, 1.5981e+02, 1.6871e+00, 7.6218e-01, 2.7114e-01
0, 0, 0, 110, 8.6336e+04, 1.5967e+02, 9.2019e-02, 7.6200e-01, 2.7124e-01
0, 0, 0, 110, 8.8347e+04, 1.5943e+02, 5.0847e+00, 7.6160e-01, 2.7124e-01
0, 0, 0, 110, 9.0358e+04, 1.5940e+02, 3.7713e+00, 7.6157e-01, 2.7124e-01
0, 0, 0, 110, 9.2368e+04, 1.5941e+02, 2.5161e+00, 7.6158e-01, 2.7124e-01
0, 0, 0, 110, 9.4380e+04, 1.5941e+02, 1.1923e+00, 7.6158e-01, 2.7124e-01
0, 0, 0, 110, 9.6391e+04, 1.5956e+02, 6.1949e+00, 7.6184e-01, 2.7135e-01
0, 0, 0, 110, 9.8408e+04, 1.5970e+02, 4.6493e+00, 7.6201e-01, 2.7132e-01
0, 0, 0, 110, 1.0042e+05, 1.5966e+02, 3.1899e+00, 7.6196e-01, 2.7133e-01
0, 0, 0, 110, 1.0244e+05, 1.5968e+02, 1.7020e+00, 7.6197e-01, 2.7133e-01
0, 0, 0, 110, 1.0446e+05, 1.5948e+02, 2.1539e-01, 7.6170e-01, 2.7140e-01
0, 0, 0, 110, 1.0646e+05, 1.5922e+02, 5.3879e+00, 7.6127e-01, 2.7140e-01
0, 0, 0, 110, 1.0847e+05, 1.5923e+02, 4.2238e+00, 7.6130e-01, 2.7140e-01
0, 0, 0, 110, 1.1048e+05, 1.5919e+02, 3.0877e+00, 7.6125e-01, 2.7141e-01
0, 0, 0, 110, 1.1248e+05, 1.5924e+02, 1.9416e+00, 7.6131e-01, 2.7141e-01
0, 0, 0, 110, 1.1449e+05, 1.5922e+02, 7.2826e-01, 7.6127e-01, 2.7142e-01
0, 0, 0, 110, 1.1650e+05, 1.5939e+02, 5.9687e+00, 7.6155e-01, 2.7146e-01
0, 0, 0, 110, 1.1851e+05, 1.5959e+02, 4.5223e+00, 7.6184e-01, 2.7143e-01
0, 0, 0, 110, 1.2052e+05, 1.5957e+02, 3.1318e+00, 7.6180e-01, 2.7144e-01
0, 0, 0, 110, 1.2254e+05, 1.5959e+02, 1.7316e+00, 7.6184e-01, 2.7144e-01
0, 0, 0, 110, 1.2455e+05, 1.5943e+02, 2.7174e-01, 7.6161e-01, 2.7148e-01
0, 0, 0, 110, 1.2656e+05, 1.5919e+02, 5.4818e+00, 7.6124e-01, 2.7149e-01
0, 0, 0, 110, 1.2857e+05, 1.5922e+02, 4.2939e+00, 7.6128e-01, 2.7149e-01
0, 0, 0, 110, 1.3057e+05, 1.5918e+02, 3.1754e+00, 7.6123e-01, 2.7149e-01
0, 0, 0, 110, 1.3258e+05, 1.5922e+02, 2.0500e+00, 7.6128e-01, 2.7149e-01
0, 0, 0, 110, 1.3459e+05, 1.5922e+02, 8.7631e-01, 7.6128e-01, 2.7150e-01
0, 0, 0, 110, 1.3659e+05, 1.5947e+02, 6.0311e+00, 7.6167e-01, 2.7157e-01
0, 0, 0, 110, 1.3861e+05, 1.5968e+02, 4.5196e+00, 7.6197e-01, 2.7153e-01
0, 0, 0, 110, 1.4063e+05, 1.5964e+02, 3.0506e+00, 7.6191e-01, 2.7154e-01
0, 0, 0, 110, 1.4264e+05, 1.5965e+02, 1.5967e+00, 7.6192e-01, 2.7154e-01
0, 0, 0, 110, 1.4466e+05, 1.5947e+02, 1.0775e-01, 7.6167e-01, 2.7164e-01
0, 0, 0, 110, 1.4666e+05, 1.5924e+02, 5.2656e+00, 7.6129e-01, 2.7163e-01
0, 0, 0, 110, 1.4867e+05, 1.5923e+02, 4.0802e+00, 7.6127e-01, 2.7164e-01
0, 0, 0, 110, 1.5068e+05, 1.5920e+02, 2.9632e+00, 7.6123e-01, 2.7164e-01
0, 0, 0, 110, 1.5269e+05, 1.5923e+02, 1.8084e+00, 7.6128e-01, 2.7164e-01
0, 0, 0, 110, 1.5469e+05, 1.5917e+02, 6.1689e-01, 7.6119e-01, 2.7165e-01
0, 0, 0, 110, 1.5670e+05, 1.5930e+02, 5.9023e+00, 7.6139e-01, 2.7168e-01
0, 0, 0, 110, 1.5871e+05, 1.5947e+02, 4.5511e+00, 7.6164e-01, 2.7166e-01
0, 0, 0, 110, 1.6072e+05, 1.5945e+02, 3.2453e+00, 7.6162e-01, 2.7167e-01
0, 0, 0, 110, 1.6273e+05, 1.5949e+02, 1.9119e+00, 7.6166e-01, 2.7168e-01
0, 0, 0, 110, 1.6475e+05, 1.5941e+02, 5.2837e-01, 7.6155e-01, 2.7170e-01
0, 0, 0, 110, 1.6675e+05, 1.5938e+02, 5.6449e+00, 7.6151e-01, 2.7171e-01
0, 0, 0, 110, 1.6877e+05, 1.5943e+02, 4.3111e+00, 7.6158e-01, 2.7170e-01
0, 0, 0, 110, 1.7078e+05, 1.5940e+02, 3.0263e+00, 7.6153e-01, 2.7170e-01
0, 0, 0, 110, 1.7279e+05, 1.5942e+02, 1.7696e+00, 7.6156e-01, 2.7170e-01
0, 0, 0, 110, 1.7480e+05, 1.5931e+02, 4.3103e-01, 7.6141e-01, 2.7172e-01
0, 0, 0, 110, 1.7680e+05, 1.5923e+02, 5.6784e+00, 7.6128e-01, 2.7173e-01
0, 0, 0, 110, 1.7881e+05, 1.5931e+02, 4.4291e+00, 7.6139e-01, 2.7172e-01
0, 0, 0, 110, 1.8082e+05, 1.5927e+02, 3.2392e+00, 7.6134e-01, 2.7173e-01
0, 0, 0, 110, 1.8283e+05, 1.5930e+02, 2.0536e+00, 7.6137e-01, 2.7173e-01
0, 0, 0, 110, 1.8484e+05, 1.5930e+02, 8.2020e-01, 7.6137e-01, 2.7174e-01
0, 0, 0, 110, 1.8685e+05, 1.5951e+02, 5.9581e+00, 7.6172e-01, 2.7179e-01
0, 0, 0, 110, 1.8886e+05, 1.5973e+02, 4.4121e+00, 7.6202e-01, 2.7176e-01
0, 0, 0, 110, 1.9088e+05, 1.5973e+02, 2.9098e+00, 7.6204e-01, 2.7177e-01
0, 0, 0, 110, 1.9290e+05, 1.5978e+02, 1.3705e+00, 7.6210e-01, 2.7177e-01
0, 0, 0, 110, 1.9492e+05, 1.6013e+02, 6.0803e+00, 7.6266e-01, 2.7186e-01
0, 0, 0, 110, 1.9695e+05, 1.6037e+02, 4.0708e+00, 7.6300e-01, 2.7182e-01
0, 0, 0, 110, 1.9897e+05, 1.6035e+02, 2.1228e+00, 7.6296e-01, 2.7183e-01
0, 0, 0, 110, 2.0100e+05, 1.6019e+02, 1.2164e-01, 7.6274e-01, 2.7192e-01
0, 0, 0, 110, 2.0302e+05, 1.5986e+02, 4.7791e+00, 7.6222e-01, 2.7192e-01
0, 0, 0, 110, 2.0504e+05, 1.5985e+02, 3.1628e+00, 7.6221e-01, 2.7192e-01
0, 0, 0, 110, 2.0706e+05, 1.5989e+02, 1.5571e+00, 7.6226e-01, 2.7192e-01
0, 0, 0, 110, 2.0908e+05, 1.6014e+02, 6.1735e+00, 7.6267e-01, 2.7203e-01
0, 0, 0, 110, 2.1111e+05, 1.6029e+02, 4.2201e+00, 7.6286e-01, 2.7199e-01
0, 0, 0, 110, 2.1314e+05, 1.6024e+02, 2.3273e+00, 7.6279e-01, 2.7200e-01
0, 0, 0, 110, 2.1516e+05, 1.6015e+02, 3.9743e-01, 7.6266e-01, 2.7203e-01
0, 0, 0, 110, 2.1718e+05, 1.5991e+02, 5.0471e+00, 7.6228e-01, 2.7204e-01
0, 0, 0, 110, 2.1920e+05, 1.5990e+02, 3.4024e+00, 7.6229e-01, 2.7205e-01
0, 0, 0, 110, 2.2122e+05, 1.5992e+02, 1.7708e+00, 7.6231e-01, 2.7205e-01
0, 0, 0, 110, 2.2325e+05, 1.5978e+02, 8.7745e-02, 7.6213e-01, 2.7216e-01
0, 0, 0, 110, 2.2526e+05, 1.5951e+02, 5.0108e+00, 7.6168e-01, 2.7215e-01
0, 0, 0, 110, 2.2727e+05, 1.5950e+02, 3.6563e+00, 7.6167e-01, 2.7216e-01
0, 0, 0, 110, 2.2928e+05, 1.5951e+02, 2.3269e+00, 7.6169e-01, 2.7216e-01
0, 0, 0, 110, 2.3130e+05, 1.5953e+02, 9.3077e-01, 7.6171e-01, 2.7217e-01
0, 0, 0, 110, 2.3331e+05, 1.5977e+02, 5.8790e+00, 7.6208e-01, 2.7220e-01
0, 0, 0, 110, 2.3533e+05, 1.5995e+02, 4.1856e+00, 7.6236e-01, 2.7218e-01
0, 0, 0, 110, 2.3735e+05, 1.5996e+02, 2.5316e+00, 7.6237e-01, 2.7219e-01
0, 0, 0, 110, 2.3937e+05, 1.5994e+02, 8.1982e-01, 7.6233e-01, 2.7219e-01
0, 0, 0, 110, 2.4139e+05, 1.5995e+02, 5.5019e+00, 7.6236e-01, 2.7220e-01
0, 0, 0, 110, 2.4341e+05, 1.5998e+02, 3.7727e+00, 7.6240e-01, 2.7220e-01
0, 0, 0, 110, 2.4544e+05, 1.5997e+02, 2.0919e+00, 7.6238e-01, 2.7220e-01
0, 0, 0, 110, 2.4746e+05, 1.5983e+02, 3.7092e-01, 7.6217e-01, 2.7224e-01
0, 0, 0, 110, 2.4947e+05, 1.5957e+02, 5.2741e+00, 7.6178e-01, 2.7224e-01
0, 0, 0, 110, 2.5149e+05, 1.5956e+02, 3.8339e+00, 7.6177e-01, 2.7224e-01
0, 0, 0, 110, 2.5350e+05, 1.5956e+02, 2.4532e+00, 7.6177e-01, 2.7225e-01
0, 0, 0, 110, 2.5551e+05, 1.5956e+02, 1.0391e+00, 7.6175e-01, 2.7225e-01
0, 0, 0, 110, 2.5753e+05, 1.5983e+02, 5.9506e+00, 7.6217e-01, 2.7229e-01
0, 0, 0, 110, 2.5955e+05, 1.5999e+02, 4.1912e+00, 7.6241e-01, 2.7226e-01
0, 0, 0, 110, 2.6157e+05, 1.5999e+02, 2.4991e+00, 7.6240e-01, 2.7227e-01
0, 0, 0, 110, 2.6359e+05, 1.5996e+02, 7.7548e-01, 7.6235e-01, 2.7227e-01
0, 0, 0, 110, 2.6561e+05, 1.5994e+02, 5.4371e+00, 7.6232e-01, 2.7228e-01
0, 0, 0, 110, 2.6763e+05, 1.5998e+02, 3.7221e+00, 7.6239e-01, 2.7227e-01
0, 0, 0, 110, 2.6966e+05, 1.6000e+02, 2.0319e+00, 7.6243e-01, 2.7227e-01
0, 0, 0, 110, 2.7168e+05, 1.5984e+02, 2.8674e-01, 7.6220e-01, 2.7232e-01
0, 0, 0, 110, 2.7369e+05, 1.5952e+02, 5.2300e+00, 7.6170e-01, 2.7232e-01
0, 0, 0, 110, 2.7570e+05, 1.5950e+02, 3.8436e+00, 7.6167e-01, 2.7233e-01
0, 0, 0, 110, 2.7772e+05, 1.5951e+02, 2.5133e+00, 7.6169e-01, 2.7233e-01
0, 0, 0, 110, 2.7973e+05, 1.5953e+02, 1.1242e+00, 7.6172e-01, 2.7232e-01
0, 0, 0, 110, 2.8174e+05, 1.5984e+02, 6.0395e+00, 7.6220e-01, 2.7239e-01
0, 0, 0, 110, 2.8377e+05, 1.6009e+02, 4.2308e+00, 7.6256e-01, 2.7235e-01
0, 0, 0, 110, 2.8579e+05, 1.6009e+02, 2.4747e+00, 7.6256e-01, 2.7236e-01
0, 0, 0, 110, 2.8781e+05, 1.6003e+02, 6.7543e-01, 7.6247e-01, 2.7236e-01
0, 0, 0, 110, 2.8983e+05, 1.5992e+02, 5.3403e+00, 7.6230e-01, 2.7236e-01
0, 0, 0, 110, 2.9185e+05, 1.5990e+02, 3.6688e+00, 7.6226e-01, 2.7237e-01
0, 0, 0, 110, 2.9387e+05, 1.5987e+02, 2.0523e+00, 7.6222e-01, 2.7237e-01
0, 0, 0, 110, 2.9589e+05, 1.5973e+02, 3.8911e-01, 7.6202e-01, 2.7241e-01
0, 0, 0, 110, 2.9791e+05, 1.5951e+02, 5.3441e+00, 7.6167e-01, 2.7242e-01
0, 0, 0, 110, 2.9992e+05, 1.5951e+02, 3.9417e+00, 7.6167e-01, 2.7242e-01
0, 0, 0, 110, 3.0193e+05, 1.5948e+02, 2.6128e+00, 7.6163e-01, 2.7242e-01
0, 0, 0, 110, 3.0394e+05, 1.5949e+02, 1.2625e+00, 7.6164e-01, 2.7242e-01
